annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
95/96,Lecce,Lecce 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Foggia,Foggia 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Taranto,Taranto 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
96/97,Bari,Bari 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,70,novembre 1996,Cambio formato,BA97.jpg,True,accertata
96/97,Brindisi,Brindisi 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Lecce,Lecce 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Foggia,Foggia 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Taranto,Taranto 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,30,dicembre 1996,Cambio formato,TA97.jpg,True,accertata
97/98,Bari,Bari (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,62,novembre 1997,"""febbraio 1998 - gennaio 1999""",BA97b.jpg,True,accertata
97/98,Brindisi,Brindisi (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,30,dicembre 1997,"""febbraio 1998 - gennaio 1999""",BR97b.jpg,True,accertata
97/98,Lecce,Lecce (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,38,dicembre 1997,"""febbraio 1998 - gennaio 1999""",LE97b.jpg,True,accertata
97/98,Foggia,Foggia (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,30,dicembre 1997,"""febbraio 1998 - gennaio 1999""",FG97b.jpg,True,accertata
