annata,fascicolo,citta,pagina,tavole,pagine_tavola,elenco_vie,illustrazioni,nota,cambiamenti
96/97,Nuoro - Sassari 96,Macomer,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Nuoro - Sassari 96,Sassari,30,4,4,sezione dedicata,,"4 tavole, 4 pagine",
96/97,Nuoro - Sassari 96,Zona industriale Predda Niedda,34,1,1,sezione dedicata,,"1 tavola, 1 pagina",Aggiornamenti nella cartografia
96/97,Nuoro - Sassari 96,La Maddalena,35,1,1,sezione dedicata,,"1 tavola, 1 pagina",
96/97,Nuoro - Sassari 96,Alghero,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Nuoro - Sassari 96,Olbia,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Nuoro - Sassari 96,Porto Torres,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
96/97,Nuoro - Sassari 96,Tempio Pausania,42,1,1,sezione dedicata,,"1 tavola, 1 pagina",
97/98,Cagliari - Oristano 97,Cagliari,18,7,7,sezione dedicata,,"7 tavole, 7 pagine",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Assemini,25,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Carbonia,26,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Elmas,28,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Iglesias,30,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Guspini,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Monserrato,34,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Pula,35,1,1,sezione dedicata,,"1 tavola, 1 pagina",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Quartu Sant'Elena,36,3,3,sezione dedicata,,"3 tavole, 3 pagine",Leggera revisione e uniformità grafica
97/98,Cagliari - Oristano 97,Oristano,52,2,2,sezione dedicata,,"2 tavole, 2 pagine",
